case_id,status,actual_result,evidence_defect,tester_time
ENV-01,PASS,"HEAD commit bf51d53f57ba2e0ac537dd1b349122e3400f28c4 ghi vao Test Run, branch main clean",evidence/test_run.md,Antigravity QA Lead / 2026-09-21 20:20:00
ENV-02,PASS,Dong bo .env va backend/.env tro vao cs466_helpdesk_test voi test secret,evidence/test_run.md,Antigravity QA Lead / 2026-09-21 20:20:00
ENV-03,PASS,"Tao cs466_helpdesk_test, nap schema.sql du 6 bang va seed.sql co du lieu chuan",evidence/test_run.md,Antigravity QA Lead / 2026-09-21 20:20:00
ENV-04,PASS,GET /api/health tra ve HTTP 200 voi status=ok,http://127.0.0.1:8000/api/health,Antigravity QA Lead / 2026-09-21 20:20:00
ENV-05,PASS,OpenAPI schema chua dung 36 REST endpoints khop danh muc tai lieu,http://127.0.0.1:8000/openapi.json,Antigravity QA Lead / 2026-09-21 20:20:00
ENV-06,PASS,"Frontend khoi dong tren cong 8500, /login tra ve HTTP 200 khong loi console",http://127.0.0.1:8500/login,Antigravity QA Lead / 2026-09-21 20:20:00
ENV-07,PASS,"compileall toan bo backend frontend tests thanh cong 100%, 83 pytest PASS",pytest tests/api tests/integration,Antigravity QA Lead / 2026-09-21 20:20:00
ENV-08,PASS,"Ket noi FE BE MySQL hoat dong tot, dang nhap 3 role admin tech01 user01 thanh cong",evidence/test_run.md,Antigravity QA Lead / 2026-09-21 20:20:00
AUTH-01,PASS,Dang nhap Admin voi CS466@123 thanh cong HTTP 200; nut demo UI da fix dung mat khau seed (DEF-001 CLOSED),evidence/defects.md#DEF-001,Antigravity QA Lead / 2026-09-21 20:20:00
AUTH-02,PASS,"Dang nhap tech01/CS466@123 thanh cong HTTP 200, tra dung role TECHNICIAN",POST /api/login,Antigravity QA Lead / 2026-09-21 20:20:00
AUTH-03,PASS,"Dang nhap user01/CS466@123 thanh cong HTTP 200, tra dung role USER",POST /api/login,Antigravity QA Lead / 2026-09-21 20:20:00
AUTH-04,PASS,Dang nhap sai mat khau tra ve 401 AUTH_FAILED,tests/api/test_auth.py:test_auth_04_wrong_password,Antigravity QA Lead / 2026-09-21 20:20:00
AUTH-05,PASS,Dang nhap user khong ton tai tra ve 401 AUTH_FAILED,tests/api/test_auth.py:test_auth_05_nonexistent_user,Antigravity QA Lead / 2026-09-21 20:20:00
AUTH-06,PASS,Dang nhap user INACTIVE tra ve 401 AUTH_FAILED,tests/api/test_auth.py:test_auth_06_inactive_user,Antigravity QA Lead / 2026-09-21 20:20:00
AUTH-07,PASS,Body JSON thieu username hoac password tra ve 400 INVALID_INPUT,tests/api/test_auth.py:test_auth_07_invalid_json_payloads,Antigravity QA Lead / 2026-09-21 20:20:00
AUTH-08,PASS,"GET /api/auth/me tra ve thong tin user hien tai, tuyet doi khong chua password_hash",tests/api/test_auth.py:test_auth_08_get_me_contract,Antigravity QA Lead / 2026-09-21 20:20:00
AUTH-09,PASS,Goi /api/auth/me khong token hoac token hong tra ve 401,tests/api/test_auth.py:test_auth_09_get_me_unauthorized,Antigravity QA Lead / 2026-09-21 20:20:00
AUTH-10,PASS,"Dang xuat xoa session local, Back/Refresh tren trinh duyet khong bi lo trang bao ve",frontend/views/auth/login_view.py,Antigravity QA Lead / 2026-09-21 20:20:00
AUTH-11,PASS,"Doi mat khau hop le thanh cong 200, MySQL cap nhat bcrypt hash moi va login duoc bang pass moi",tests/api/test_auth.py:test_auth_11_and_12_change_password,Antigravity QA Lead / 2026-09-21 20:20:00
AUTH-12,PASS,Doi mat khau sai mat khau cu hoac mat khau moi qua yeu bi chan 400,tests/api/test_auth.py:test_auth_11_and_12_change_password,Antigravity QA Lead / 2026-09-21 20:20:00
AUTH-13,PASS,Nhan dup nhanh hoac gui request login song song duoc xu ly on dinh boi rate limiter,tests/api/test_security_matrix.py:test_sec_12_rate_limiter_brute_force,Antigravity QA Lead / 2026-09-21 20:20:00
USR-01,PASS,"Admin lay danh sach nguoi dung, ho tro tim kiem theo username ho ten va email",tests/api/test_users.py:test_usr_01_and_02_list_and_filter_users,Antigravity QA Lead / 2026-09-21 20:20:00
USR-02,PASS,Loc danh sach nguoi dung theo vai_tro va trang_thai chinh xac,tests/api/test_users.py:test_usr_01_and_02_list_and_filter_users,Antigravity QA Lead / 2026-09-21 20:20:00
USR-03,PASS,"Admin tao user moi thanh cong 201, mat khau duoc bam bcrypt chuan",tests/api/test_users.py:test_usr_03_create_user_and_password_hashing,Antigravity QA Lead / 2026-09-21 20:20:00
USR-04,PASS,Admin tao user voi vai tro TECHNICIAN va ADMIN thanh cong,tests/api/test_users.py:test_usr_04_create_technician_and_admin,Antigravity QA Lead / 2026-09-21 20:20:00
USR-05,PASS,Tao user trung username hoac trung email bi tu choi 409 CONFLICT,tests/api/test_users.py:test_usr_05_create_duplicate_username_and_email,Antigravity QA Lead / 2026-09-21 20:20:00
USR-06,PASS,"Validate bien: username qua ngan/dai, email sai dinh dang, pass ngan bi chan 400",tests/api/test_users.py:test_usr_06_boundary_validation,Antigravity QA Lead / 2026-09-21 20:20:00
USR-07,PASS,"Cap nhat ho ten va email user thanh cong 200, DB cap nhat updated_at",tests/api/test_users.py:test_usr_07_update_user_details,Antigravity QA Lead / 2026-09-21 20:20:00
USR-08,PASS,"Khoa tai khoan sang INACTIVE thanh cong 200, token cu va dang nhap moi deu bi tu choi 401",tests/api/test_users.py:test_usr_08_and_09_user_status_toggle,Antigravity QA Lead / 2026-09-21 20:20:00
USR-09,PASS,"Mo khoa tai khoan sang ACTIVE thanh cong 200, dang nhap lai binh thuong",tests/api/test_users.py:test_usr_08_and_09_user_status_toggle,Antigravity QA Lead / 2026-09-21 20:20:00
USR-10,PASS,User thuong va Technician goi quan ly Users bi chan 403 FORBIDDEN,tests/api/test_users.py:test_usr_10_role_protection_on_users_endpoints,Antigravity QA Lead / 2026-09-21 20:20:00
USR-11,PASS,"User thuong goi PATCH /users/3 voi vai_tro=ADMIN bi chan 403 FORBIDDEN, DB giu nguyen (DEF-002 CLOSED)",evidence/defects.md#DEF-002,Antigravity QA Lead / 2026-09-21 20:20:00
DEV-01,PASS,Tim kiem va loc thiet bi theo loai_thiet_bi va trang_thai hoat dong chinh xac,tests/api/test_devices.py:test_dev_01_list_and_filter_devices,Antigravity QA Lead / 2026-09-21 20:20:00
DEV-02,PASS,Admin tao thiet bi moi thanh cong 201 voi ma thiet bi tu dong viet hoa,tests/api/test_devices.py:test_dev_02_and_03_create_device_and_duplicate,Antigravity QA Lead / 2026-09-21 20:20:00
DEV-03,PASS,Tao thiet bi trung ma_thiet_bi bi tu choi 409 CONFLICT,tests/api/test_devices.py:test_dev_02_and_03_create_device_and_duplicate,Antigravity QA Lead / 2026-09-21 20:20:00
